rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700003010,Mohammed Salim Yusuf,0,0,0
P51700002982,PRESCON Realtors & Infrastructures Pvt. ltd.,0,0,24
P51700005621,VAGAD CONSTRUCTIONS,0,0,31
P51700010742,NICE REALTY AND DEVELOPERS,0,0,0
P51700004255,OM KRISHNA INFRA,0,0,9
P51700001722,Aurum RealEstate Developers Limited,3,0,0
P51700000656,Om Sai Constructions,0,0,6
P51700000704,HIRANANDANI PROPERTIES PRIVATE LIMITED,0,2,0
P51700001599,SHREE ADITI DEVELOPERS,0,0,12
P51700007983,PATIDAR DEVELOPERS,0,0,42
P51700000981,MACROTECH DEVELOPERS LIMITED,1,2,12
P51700001030,MACROTECH DEVELOPERS LIMITED,7,2,12
P51700003758,BHAVI ENTERPRISES,0,0,14
P51700002411,AMAR REALTY,0,0,0
P51700007866,NICE CONSTRUCTIONS,0,0,24
P51700004783,ORANGE REALTORS,0,0,12
P51700000884,AARADHANA DEVELOPERS,0,0,15
P51700002010,Patel & Associates,0,0,171
P51700002673,Money Magnum Constructions,0,22,30
P51700002110,Money Magnum Constructions,0,21,12
P51700006775,DEV VENTURES,0,0,18
P51800000861,Ashta Siddhi Constructions Private Limited,0,0,37
P51700007307,Ms ASHAR VENTURES,0,0,0
P51700003827,ANANT SQUARE,0,0,12
P51700007389,Ms ASHAR VENTURES,1,0,24
P51700004111,FOURWAY REALTY,0,0,6
P51700005002,Aadinath builders & developers,0,0,12
P51700001081,Ms ASHAR REALTORS,0,0,0
P51700000986,SARASWATI CORP,0,0,16
P51700003260,TRICITY REALTY LLP,0,0,0
P51700007011,MOHAN LIFESPACES LLP,0,2,48
P51700001926,Ms ASHAR REALTORS,0,0,0
P51700000972,Ms ASHAR REALTORS,0,0,0
P51700005931,SHREE SIDDHI DEVELOPERS,0,0,0
P51700008474,MORAJ INFRATECH PRIVATE LIMITED,0,0,12
P51700004872,GeeCee Ventures Limited,0,0,0
P51700002726,RISALI DEVELOPERS,0,0,15
P51700002717,MAGESTIC PREMISES PRIVATE LIMITED,0,0,0
P51700006334,JITESH KAMLESH PATEL,0,0,3
P51700006232,Ravi Developments,49,0,80
P51700001597,Siddhitech Homes Private Limited,20,0,24
P51700001169,Ms ASHAR REALTORS,0,0,0
P51700003692,SWASTIK REALTORS,1,0,24
P51700001159,Ms ASHAR REALTORS,0,0,0
P51700000958,Tapir Constructions Limited,18,0,0
P51700003008,SHREE BALAJI BULDERS AND DEVELOPERS,0,0,0
P51700007306,OMPRAKASH WADHURAM WADHWA,0,0,18
P51700002735,REGENCY NIRMAN LTD,0,6,6
P51700002911,REGENCY NIRMAN LTD,0,6,6
P51700008116,REGENCY NIRMAN LTD,0,6,18
P51700005607,LAABH BUILDERS and DEVELOPERS,0,0,84
P51700004316,Ravi Developments,0,0,24
P51700013029,HARISHREE CREATIONS,0,0,0
P51700005954,ATLANTIC WINDS INFRASTRUCTURE PVT.LTD.,0,0,11
P51700006810,M/s Soham Construction,0,0,0
